axis,axis_group,gene,cosine_mean,rank,known_AD_target,ad_lit_count,allergy_imm_count,novelty_tier,sm_tier,degrader_tier,degrader_score,n_allergic_disease_loci,top_disease_trait,top_disease_p
TYK2,JAK_STAT,CAB39,0.49,14,False,9,18,minimal AD literature (emerging),,,,0,,
TYK2,JAK_STAT,ZNF649,0.487,15,False,0,3,unstudied in AD (novel),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TYK2,JAK_STAT,GYPC,0.485,16,False,4,13,minimal AD literature (emerging),,,,0,,
TBX21,Th1_IFNg,VAV1,0.592,2,False,112,426,some AD literature,structural ligand/pocket,moderate (structural ligand),3.0,0,,
TBX21,Th1_IFNg,NDFIP2,0.578,3,False,9,20,minimal AD literature (emerging),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TBX21,Th1_IFNg,ITK,0.571,4,False,354,729,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,3,asthma,8e-10
TBX21,Th1_IFNg,CD247,0.56,5,False,69,130,some AD literature,structural ligand/pocket,moderate (structural ligand),3.0,0,,
TBX21,Th1_IFNg,LCK,0.544,6,False,573,1793,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,0,,
TBX21,Th1_IFNg,CD2,0.534,7,False,1115,2354,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,0,,
TBX21,Th1_IFNg,CD3E,0.531,8,False,385,1269,well-studied in AD/immunology,clinical,high (HQ ligand + ubiquitination),4.0,0,,
TBX21,Th1_IFNg,ZAP70,0.526,9,False,234,690,well-studied in AD/immunology,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
TBX21,Th1_IFNg,RCOR1,0.526,10,False,20,18,some AD literature,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
TBX21,Th1_IFNg,MORC2,0.511,11,False,4,12,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
TBX21,Th1_IFNg,RC3H1,0.509,12,False,10,34,minimal AD literature (emerging),,,,0,,
TBX21,Th1_IFNg,TMX1,0.508,13,False,2,7,minimal AD literature (emerging),none,low,0.0,1,allergen exposure measurement,3e-07
TBX21,Th1_IFNg,CD99L2,0.503,14,False,3,12,minimal AD literature (emerging),,,,0,,
TBX21,Th1_IFNg,PGAM1,0.502,15,False,26,60,some AD literature,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
TBX21,Th1_IFNg,SCAF4,0.498,16,False,0,1,unstudied in AD (novel),,,,0,,
AHR,Th22_AHR,ARNT,0.708,2,False,515,736,well-studied in AD/immunology,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
AHR,Th22_AHR,STIP1,0.554,3,False,50,97,some AD literature,structural ligand/pocket,moderate (structural ligand),3.0,0,,
AHR,Th22_AHR,AIP,0.51,4,False,676,1231,well-studied in AD/immunology,structural ligand/pocket,moderate (structural ligand),3.0,0,,
AHR,Th22_AHR,DOCK2,0.442,5,False,96,218,some AD literature,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
AHR,Th22_AHR,NCKAP1L,0.426,6,False,20,35,some AD literature,none,low,0.0,0,,
AHR,Th22_AHR,WASF2,0.401,7,False,3,16,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
AHR,Th22_AHR,EZH2,0.387,8,False,465,1287,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,0,,
AHR,Th22_AHR,SIAH2,0.383,9,False,13,46,minimal AD literature (emerging),none,low,0.0,0,,
AHR,Th22_AHR,ZNF613,0.379,10,False,1,3,minimal AD literature (emerging),none,low,0.0,0,,
AHR,Th22_AHR,BRK1,0.372,11,False,3,7,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
AHR,Th22_AHR,SOCS3,0.352,12,False,899,2602,well-studied in AD/immunology,,,,0,,
AHR,Th22_AHR,TMED4,0.351,13,False,2,6,minimal AD literature (emerging),,,,0,,
AHR,Th22_AHR,ECHS1,0.348,14,False,11,34,minimal AD literature (emerging),,,,0,,
AHR,Th22_AHR,ARIH1,0.327,15,False,8,19,minimal AD literature (emerging),,,,0,,
AHR,Th22_AHR,CUL3,0.324,16,False,104,261,some AD literature,,,,0,,
