gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
ELAVL1,0.21169229327338066,0.21278296061637714,2169,0.18674866463570716,0.1866959514767251,2007,0.19922047895454392,0.18674866463570716,2169,76,2169.0,2007.0,2007.0,STAT6
DOT1L,0.07445411494744797,0.07559505383493824,175,0.32377121087891336,0.32679686015817677,435,0.19911266291318067,0.07445411494744797,435,77,175.0,435.0,175.0,STAT6
CTU1,0.2434586677223884,0.24389893789577646,296,0.15262947779111236,0.15256025790117286,49,0.19804407275675037,0.15262947779111236,296,78,296.0,49.0,49.0,STAT6
FBXL3,0.1729931555295711,0.17623684321267316,423,0.2167767543876031,0.21670809853754888,64,0.1948849549585871,0.1729931555295711,423,79,423.0,64.0,64.0,STAT6
GRSF1,0.13300475977720685,0.1343042507339837,21,0.25541242387189717,0.2553775591084535,1848,0.19420859182455202,0.13300475977720685,1848,80,21.0,1848.0,21.0,STAT6
CMTM7,0.22665898989111802,0.22825202718158377,46,0.16069374942621636,0.1608045107129242,91,0.1936763696586672,0.16069374942621636,91,81,46.0,91.0,46.0,STAT6
PDCD5,0.07629522702662217,0.07757701102179584,37,0.3103726245065881,0.31166633221130563,901,0.19333392576660513,0.07629522702662217,901,82,37.0,901.0,37.0,STAT6
OST4,0.16801712206650415,0.1695094078398231,97,0.2178507654547308,0.21991577938921641,114,0.19293394376061748,0.16801712206650415,114,83,97.0,114.0,97.0,STAT6
CYB5R4,0.09906276173650623,0.09998706729284937,1674,0.286790578110079,0.2928050700826286,1027,0.19292666992329263,0.09906276173650623,1674,84,1674.0,1027.0,1027.0,STAT6
PSIP1,0.23176952897913122,0.2365447481316989,262,0.15385107079279067,0.15403401369559427,486,0.19281029988596093,0.15385107079279067,486,85,262.0,486.0,262.0,STAT6
ZBTB7A,0.158397274023964,0.16184207723929736,220,0.22676203336073156,0.22681638794621584,45,0.19257965369234778,0.158397274023964,220,86,220.0,45.0,45.0,STAT6
OTUB1,0.21183636821643737,0.21474145077372986,292,0.17282147878813117,0.17468552061906695,119,0.19232892350228425,0.17282147878813117,292,87,292.0,119.0,119.0,STAT6
EIF2AK4,0.18110779812901545,0.18894987524030943,38,0.20268363868373798,0.20920899561717207,39,0.1918957184063767,0.18110779812901545,39,88,38.0,39.0,38.0,STAT6
PTPN2,0.1526036966864119,0.15265801424376246,101,0.23035437665953423,0.23052127459125318,370,0.19147903667297306,0.1526036966864119,370,89,101.0,370.0,101.0,STAT6
KAT2B,0.13324747181639388,0.13472441701133878,25,0.24917625016808656,0.24911462931389722,44,0.19121186099224022,0.13324747181639388,44,90,25.0,44.0,25.0,STAT6
PRKD2,0.15151736042541256,0.15197752815657864,52,0.22947508009102732,0.2323431825166101,71,0.19049622025821994,0.15151736042541256,71,91,52.0,71.0,52.0,STAT6
AKAP17A,0.014962969375564973,0.014512065088772928,70,0.36447557583600954,0.3644366899788072,85,0.18971927260578725,0.014962969375564973,85,92,70.0,85.0,70.0,STAT6
ICOS,0.23489309248435264,0.23794767285394453,210,0.1426707982047025,0.1438461008656223,69,0.18878194534452758,0.1426707982047025,210,93,210.0,69.0,69.0,STAT6
IWS1,0.10195161233251736,0.10290248401413034,681,0.2717439938734251,0.27170277277673804,409,0.18684780310297125,0.10195161233251736,681,94,681.0,409.0,409.0,STAT6
ALG8,0.09324675915628036,0.09450388865522187,549,0.275513790121923,0.28028780299666783,806,0.18438027463910167,0.09324675915628036,806,95,549.0,806.0,549.0,STAT6
SRSF11,0.030503195888436453,0.031519358143144015,78,0.3379464168841977,0.34431877457404897,87,0.18422480638631708,0.030503195888436453,87,96,78.0,87.0,78.0,STAT6
PPM1D,0.08739249443163574,0.08754133616973815,139,0.2803799991414289,0.2805490048992092,68,0.18388624678653231,0.08739249443163574,139,97,139.0,68.0,68.0,STAT6
LCK,0.21780535813462149,0.23131304419344464,2413,0.14880294422548035,0.15000313299863738,915,0.18330415118005092,0.14880294422548035,2413,98,2413.0,915.0,915.0,STAT6
CDK13,0.17181917768585556,0.17223891323102558,671,0.1921755181643438,0.1940989248958942,889,0.1819973479250997,0.17181917768585556,889,99,671.0,889.0,671.0,STAT6
MORF4L1,0.06590437526743174,0.06578538672990182,220,0.29808435183302245,0.2996114097721428,58,0.1819943635502271,0.06590437526743174,220,100,220.0,58.0,58.0,STAT6
KAT6A,0.22761016949596494,0.23582004213249783,505,0.13534096881768048,0.13662116128345997,142,0.18147556915682272,0.13534096881768048,505,101,505.0,142.0,142.0,STAT6
PTPA,0.1575754988829153,0.1587127481194044,291,0.20414919389169064,0.20438628260612243,1104,0.18086234638730297,0.1575754988829153,1104,102,291.0,1104.0,291.0,STAT6
CBX5,0.029107344859129972,0.02886700317706706,232,0.3280656807938028,0.328032764950493,561,0.1785865128264664,0.029107344859129972,561,103,232.0,561.0,232.0,STAT6
PPP1R11,0.21010323894625435,0.21266198192924823,902,0.1432892962159336,0.14425674602130473,632,0.17669626758109397,0.1432892962159336,902,104,902.0,632.0,632.0,STAT6
KLHDC10,0.16589246194638413,0.17211656929442476,75,0.17695965516333895,0.17774524680277842,32,0.17142605855486154,0.16589246194638413,75,105,75.0,32.0,32.0,STAT6
WDR48,0.05468946538651502,0.05595117259614156,66,0.2852106201864154,0.285263260195628,22,0.16995004278646522,0.05468946538651502,66,106,66.0,22.0,22.0,STAT6
CROT,0.19560415244820045,0.20307481017905993,282,0.14326709171522442,0.1444813903499708,45,0.16943562208171242,0.14326709171522442,282,107,282.0,45.0,45.0,STAT6
ELP1,0.2005516157936935,0.20074034511671168,827,0.1360328299301994,0.1365398399488224,135,0.16829222286194645,0.1360328299301994,827,108,827.0,135.0,135.0,STAT6
TATDN2,0.04348410501565374,0.043272187492117815,52,0.2904514612951464,0.29050005963067094,31,0.16696778315540006,0.04348410501565374,52,109,52.0,31.0,31.0,STAT6
RTRAF,0.20170588369160866,0.20662302554364925,2286,0.13145995204179461,0.13736011523767494,580,0.16658291786670165,0.13145995204179461,2286,110,2286.0,580.0,580.0,STAT6
SZRD1,0.0663261175235718,0.06608560198372726,87,0.2667230924031413,0.27049011868794265,318,0.16652460496335655,0.0663261175235718,318,111,87.0,318.0,87.0,STAT6
MAX,0.24072995616682966,0.24993696121085807,2222,0.08931168484929136,0.09142273190865362,100,0.1650208205080605,0.08931168484929136,2222,112,2222.0,100.0,100.0,STAT6
KEAP1,0.04155667238267074,0.041860877853051724,219,0.284660506106514,0.28813046322249347,207,0.16310858924459237,0.04155667238267074,219,113,219.0,207.0,207.0,STAT6
CCNQ,0.12272394198824299,0.12565262330655047,776,0.20347920455709864,0.20439729159848585,411,0.16310157327267083,0.12272394198824299,776,114,776.0,411.0,411.0,STAT6
NDEL1,0.1198940703143,0.12115874698117256,33,0.20364296737133014,0.208287684742319,48,0.16176851884281507,0.1198940703143,48,115,33.0,48.0,33.0,STAT6
KMT5B,0.07639624514891256,0.07756560401306901,781,0.24489110951670592,0.24482835776811626,939,0.16064367733280924,0.07639624514891256,939,116,781.0,939.0,781.0,STAT6
MED14,0.16273484838683072,0.166013068642163,366,0.15757627714124478,0.15883507828432095,134,0.16015556276403775,0.15757627714124478,366,117,366.0,134.0,134.0,STAT6
