gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
FANCL,0.1126978054631784,0.11582782730806446,180,0.20654227085015955,0.20891388833184252,328,0.15962003815666898,0.1126978054631784,328,118,180.0,328.0,180.0,STAT6
ZRANB2,0.13924304972399923,0.13964981860662637,129,0.17976015331222725,0.17985927998735263,171,0.15950160151811324,0.13924304972399923,171,119,129.0,171.0,129.0,STAT6
SINHCAF,0.13813854357374322,0.14041258603889972,1210,0.1778828776998157,0.17857896658386382,410,0.15801071063677946,0.13813854357374322,1210,120,1210.0,410.0,410.0,STAT6
CAP1,0.18325131094923514,0.1832027423869831,101,0.1326533295674923,0.13443799437343382,79,0.1579523202583637,0.1326533295674923,101,121,101.0,79.0,79.0,STAT6
PSMF1,0.03032467925990438,0.030097370153074638,426,0.2852679230694757,0.2855914133697346,125,0.15779630116469004,0.03032467925990438,426,122,426.0,125.0,125.0,STAT6
UQCRC2,0.040179552113450465,0.041611059113644704,176,0.27435979729342874,0.2743050749290876,123,0.1572696747034396,0.040179552113450465,176,123,176.0,123.0,123.0,STAT6
UPF2,0.06797412256382332,0.06852114186004395,674,0.24450254772999597,0.25175838198827116,485,0.15623833514690966,0.06797412256382332,674,124,674.0,485.0,485.0,STAT6
ING3,0.022067343938362394,0.02302527570047742,51,0.2878732681176645,0.2883269724261948,118,0.15497030602801345,0.022067343938362394,118,125,51.0,118.0,51.0,STAT6
DEF6,-0.004163765349124297,-0.003679571777950145,59,0.31329084274593855,0.3141113694025354,22,0.15456353869840714,-0.004163765349124297,59,126,59.0,22.0,22.0,STAT6
GALNT6,0.13823092828268538,0.1399762782754287,38,0.16985005153553212,0.17303945655409947,361,0.15404048990910874,0.13823092828268538,361,127,38.0,361.0,38.0,STAT6
USO1,0.06954951149401976,0.0700795692477408,1381,0.2379273111602123,0.2378791182006473,170,0.15373841132711602,0.06954951149401976,1381,128,1381.0,170.0,170.0,STAT6
RAD51B,0.05873478844522066,0.058880989805894186,36,0.2484255505974619,0.24970889916159322,172,0.1535801695213413,0.05873478844522066,172,129,36.0,172.0,36.0,STAT6
CARNMT1,0.1658016044117846,0.16591785295074832,46,0.14063674330307377,0.14070169727291842,57,0.15321917385742917,0.14063674330307377,57,130,46.0,57.0,46.0,STAT6
ERCC4,0.1078913005205643,0.11033471292515964,478,0.19788684581095492,0.2009797247174024,1144,0.15288907316575961,0.1078913005205643,1144,131,478.0,1144.0,478.0,STAT6
