gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
SUPT20H,0.10975930819323183,0.14074960953579485,3947,0.25903868227019594,0.2799445939326863,3311,0.18439899523171388,0.10975930819323183,3947,91,3947.0,3311.0,3311.0,GATA3
TMEM126B,0.11185237123295155,0.1067688068734577,49,0.2538303736724045,0.251968024900913,440,0.18284137245267804,0.11185237123295155,440,92,49.0,440.0,49.0,GATA3
COX17,0.14558955945300442,0.14603808652325753,89,0.2197583815986559,0.21400339238069113,97,0.18267397052583018,0.14558955945300442,97,93,89.0,97.0,89.0,GATA3
WARS2,0.18823565079042875,0.19062706247271616,67,0.17535550148557894,0.18381371630659896,938,0.18179557613800384,0.17535550148557894,938,94,67.0,938.0,67.0,GATA3
SNAP23,0.25052185539851174,0.24698130033774837,35,0.1128668120395495,0.13332271956593247,187,0.18169433371903063,0.1128668120395495,187,95,35.0,187.0,35.0,GATA3
EID2,0.11627360838815212,0.13570375053596054,94,0.24538697911265828,0.26209299443076606,93,0.1808302937504052,0.11627360838815212,94,96,94.0,93.0,93.0,GATA3
SLC4A7,0.1776300196146606,0.1685907464122965,45,0.18352077613789916,0.2002991431355232,147,0.18057539787627988,0.1776300196146606,147,97,45.0,147.0,45.0,GATA3
OXA1L,0.2255368021454088,0.22713354787888013,113,0.13285032230102903,0.14100533229285117,1541,0.17919356222321892,0.13285032230102903,1541,98,113.0,1541.0,113.0,GATA3
INTS14,0.16544316717754798,0.18972680361214816,781,0.19156631733394477,0.2086882475009934,713,0.17850474225574636,0.16544316717754798,781,99,781.0,713.0,713.0,GATA3
PPIH,0.188354005747897,0.18328516816701038,876,0.16854653993201352,0.1655310886677587,386,0.17845027283995527,0.16854653993201352,876,100,876.0,386.0,386.0,GATA3
IRF2BP1,0.17267442468447017,0.15216649170582658,203,0.18135030582988707,0.1583392784600144,105,0.17701236525717862,0.17267442468447017,203,101,203.0,105.0,105.0,GATA3
PDCD2L,0.2564223999231695,0.2826804794416844,384,0.09640364541596781,0.10310327461445264,51,0.17641302266956865,0.09640364541596781,384,102,384.0,51.0,51.0,GATA3
WAC,0.17317263339096653,0.1492428758339257,2475,0.17932598109521317,0.1671939941921329,1668,0.17624930724308985,0.17317263339096653,2475,103,2475.0,1668.0,1668.0,GATA3
UBE2V2,0.23858789679530293,0.22681962096770855,31,0.1113357930022476,0.10157117370668683,1443,0.17496184489877525,0.1113357930022476,1443,104,31.0,1443.0,31.0,GATA3
TIMP1,0.12422825555844663,0.11211852852417578,35,0.2252131135292845,0.21933296070410416,100,0.17472068454386558,0.12422825555844663,100,105,35.0,100.0,35.0,GATA3
TIPRL,0.13721207970333893,0.138470002708724,1289,0.21078574077765647,0.20501380813706102,388,0.17399891024049768,0.13721207970333893,1289,106,1289.0,388.0,388.0,GATA3
APMAP,0.1761469394474029,0.1858337989997699,39,0.17131688606912848,0.16712324309894425,35,0.1737319127582657,0.17131688606912848,39,107,39.0,35.0,35.0,GATA3
COX6C,0.1631165750934428,0.17534137344617112,1493,0.18425773522590438,0.19339453754975341,567,0.1736871551596736,0.1631165750934428,1493,108,1493.0,567.0,567.0,GATA3
COA7,0.11402736547701699,0.1216246150936477,199,0.23327019499475687,0.23437529423310766,543,0.17364878023588692,0.11402736547701699,543,109,199.0,543.0,199.0,GATA3
MFSD4B,0.2086066324393357,0.19520976207890717,28,0.13785880103681047,0.1371430697455584,30,0.17323271673807308,0.13785880103681047,30,110,28.0,30.0,28.0,GATA3
TUFM,0.13047313996053944,0.14921300447814675,651,0.21428058036783781,0.2190472887864321,475,0.17237686016418863,0.13047313996053944,651,111,651.0,475.0,475.0,GATA3
INO80B,0.1918126344878988,0.19184113056776853,427,0.151915604781106,0.15738833112504524,174,0.17186411963450238,0.151915604781106,427,112,427.0,174.0,174.0,GATA3
POLG,0.19822059876336873,0.19816985509584464,265,0.14389634324943518,0.14935873841383238,1600,0.17105847100640195,0.14389634324943518,1600,113,265.0,1600.0,265.0,GATA3
ZC3H4,0.21023959616891896,0.20965900924328695,276,0.12749702594864526,0.12493933951343454,36,0.1688683110587821,0.12749702594864526,276,114,276.0,36.0,36.0,GATA3
GADD45GIP1,0.14988155332938408,0.1518187991565947,69,0.1877823277654554,0.19267618838067727,536,0.16883194054741973,0.14988155332938408,536,115,69.0,536.0,69.0,GATA3
RAP1A,0.1272728270924504,0.10543036826479821,28,0.21019430805177466,0.20175079984111738,27,0.16873356757211255,0.1272728270924504,28,116,28.0,27.0,27.0,GATA3
TWNK,0.14774548109217414,0.1551397969397876,218,0.18919677797403814,0.19229299159723987,801,0.16847112953310614,0.14774548109217414,801,117,218.0,801.0,218.0,GATA3
ZRSR2,0.15866561085949274,0.16141630080522257,423,0.17480565536698509,0.17141777289712332,27,0.1667356331132389,0.15866561085949274,423,118,423.0,27.0,27.0,GATA3
CYC1,0.12607084806244565,0.13507340706784945,481,0.20015375273559158,0.20460195573204623,277,0.1631123003990186,0.12607084806244565,481,119,481.0,277.0,277.0,GATA3
ACTR5,0.1357632452462542,0.14655546084031962,584,0.19023317515169502,0.19062220803562843,373,0.1629982101989746,0.1357632452462542,584,120,584.0,373.0,373.0,GATA3
HMGB3,0.1873522786011122,0.17395038323590048,28,0.1385542181178568,0.12485357344921122,53,0.1629532483594845,0.1385542181178568,53,121,28.0,53.0,28.0,GATA3
CBX5,0.16980785433536183,0.1621996293588627,232,0.156054827066444,0.14975991083787,561,0.16293134070090293,0.156054827066444,561,122,232.0,561.0,232.0,GATA3
UBE2I,0.15885906911053008,0.18407060864273714,729,0.16583421194083336,0.18427934181945488,733,0.1623466405256817,0.15885906911053008,733,123,729.0,733.0,729.0,GATA3
MLKL,0.11648147465528494,0.1424166926045333,36,0.20783696663756962,0.20308161531663863,79,0.1621592206464273,0.11648147465528494,79,124,36.0,79.0,36.0,GATA3
PARS2,0.1614512180696402,0.15780349596310692,650,0.1617338765407187,0.16673678649787932,547,0.16159254730517944,0.1614512180696402,650,125,650.0,547.0,547.0,GATA3
DNTTIP1,0.13316799546921407,0.14478746764678227,2724,0.1874581444948692,0.20615339532351704,1903,0.16031306998204164,0.13316799546921407,2724,126,2724.0,1903.0,1903.0,GATA3
ZBTB21,0.22091059706360905,0.20807588475181735,40,0.09913971047373715,0.11013773095014855,43,0.1600251537686731,0.09913971047373715,43,127,40.0,43.0,40.0,GATA3
MMAB,0.18357986110013044,0.2082498415231931,505,0.13583926258558512,0.14514010421371445,743,0.15970956184285778,0.13583926258558512,743,128,505.0,743.0,505.0,GATA3
PPP1R11,0.1184432047199561,0.13682146536886464,902,0.20083294485537923,0.21093863637617358,632,0.15963807478766767,0.1184432047199561,902,129,902.0,632.0,632.0,GATA3
PMVK,0.18304685797165177,0.18373548928129568,87,0.13622167367111745,0.14801946193624146,3527,0.15963426582138462,0.13622167367111745,3527,130,87.0,3527.0,87.0,GATA3
RNF20,0.22710415633644712,0.21037309061229661,627,0.09152317175884513,0.09079608198800752,934,0.15931366404764613,0.09152317175884513,934,131,627.0,934.0,627.0,GATA3
FIGNL1,0.21303258896021982,0.22338889312705915,26,0.10502993967082042,0.11679144185842989,345,0.15903126431552012,0.10502993967082042,345,132,26.0,345.0,26.0,GATA3
BTAF1,0.15212848376363414,0.17042707168740281,1492,0.16571877836527046,0.16825116780041982,1295,0.1589236310644523,0.15212848376363414,1492,133,1492.0,1295.0,1295.0,GATA3
PHF3,0.16123732589796091,0.1533321041086415,80,0.15591446627971214,0.14299919984939902,214,0.15857589608883654,0.15591446627971214,214,134,80.0,214.0,80.0,GATA3
PEX6,0.0698780399353088,0.09257708343900853,641,0.24697767648302127,0.25851322331884014,79,0.15842785820916505,0.0698780399353088,641,135,641.0,79.0,79.0,GATA3
